Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8002842928216063,0.6388059701492538,0.5721925133689839,0.6036671368124118,0.835351838526487
Decision Tree,0.7256574271499645,0.4903225806451612,0.8128342245989305,0.6116700201207244,0.8212503429603821
SVM,0.7270788912579957,0.4916107382550335,0.7834224598930482,0.6041237113402061,0.8100685403088456
Random Forest,0.7903340440653873,0.6321070234113713,0.5053475935828877,0.5616641901931649,0.8343449586117999
XG Boost,0.7711442786069652,0.5524193548387096,0.732620320855615,0.6298850574712643,0.8376852633159222
